TP size,EXP ID,Rank,device type,dtype,ffn hidden size,hidden size,max position embedding,micro batch size,num attention heads,num layers,num query groups,recompute granularity,sequence length,vocab size,Peak GPU memory,TFLOP/s/GPU,elapsed time per iteration
4,exp20260303_045207,0,vendor-b,bf16,11008,8192,4096,4,128,1,16,null,1024,32000,9376,27.1177,159.174
4,exp20260303_045207,1,vendor-b,bf16,11008,8192,4096,4,128,1,16,null,1024,32000,9376,27.1175,159.176
4,exp20260303_045207,2,vendor-b,bf16,11008,8192,4096,4,128,1,16,null,1024,32000,9376,27.1174,159.176
4,exp20260303_045207,3,vendor-b,bf16,11008,8192,4096,4,128,1,16,null,1024,32000,9376,27.1159,159.185
4,exp20260302_171310,2,vendor-b,bf16,11008,8192,4096,2,128,1,8,null,2048,32000,9312,26.9174,162.273
4,exp20260302_171310,1,vendor-b,bf16,11008,8192,4096,2,128,1,8,null,2048,32000,9312,26.9168,162.277
4,exp20260302_171310,3,vendor-b,bf16,11008,8192,4096,2,128,1,8,null,2048,32000,9312,26.9167,162.278
4,exp20260302_171310,0,vendor-b,bf16,11008,8192,4096,2,128,1,8,null,2048,32000,9312,26.9165,162.279
4,exp20260302_194105,3,vendor-b,bf16,11008,8192,4096,4,128,1,16,null,1024,32000,9376,26.5671,162.473
4,exp20260302_194105,0,vendor-b,bf16,11008,8192,4096,4,128,1,16,null,1024,32000,9376,26.5663,162.478
4,exp20260302_194105,1,vendor-b,bf16,11008,8192,4096,4,128,1,16,null,1024,32000,9376,26.566,162.48
4,exp20260302_194105,2,vendor-b,bf16,11008,8192,4096,4,128,1,16,null,1024,32000,9376,26.5652,162.485
4,exp20260303_080104,2,vendor-b,bf16,11008,8192,4096,4,64,1,16,selective,2048,32000,10048,55.1943,163.879
4,exp20260303_080104,1,vendor-b,bf16,11008,8192,4096,4,64,1,16,selective,2048,32000,10048,55.192,163.886
4,exp20260303_080104,3,vendor-b,bf16,11008,8192,4096,4,64,1,16,selective,2048,32000,10048,55.1919,163.886
4,exp20260303_080104,0,vendor-b,bf16,11008,8192,4096,4,64,1,16,selective,2048,32000,10048,55.1914,163.888
4,exp20260303_112535,0,vendor-b,bf16,11008,8192,4096,2,64,1,32,selective,1024,32000,10080,13.9344,165.981
4,exp20260303_112535,1,vendor-b,bf16,11008,8192,4096,2,64,1,32,selective,1024,32000,10080,13.9344,165.981
4,exp20260303_112535,2,vendor-b,bf16,11008,8192,4096,2,64,1,32,selective,1024,32000,10080,13.934,165.985
4,exp20260303_112535,3,vendor-b,bf16,11008,8192,4096,2,64,1,32,selective,1024,32000,10080,13.9332,165.994
4,exp20260302_150259,1,vendor-b,bf16,11008,8192,4096,2,64,1,16,null,2048,32000,9536,26.8814,168.243
4,exp20260302_150259,0,vendor-b,bf16,11008,8192,4096,2,64,1,16,null,2048,32000,9536,26.8811,168.245
4,exp20260302_150259,2,vendor-b,bf16,11008,8192,4096,2,64,1,16,null,2048,32000,9536,26.88,168.251
4,exp20260302_150259,3,vendor-b,bf16,11008,8192,4096,2,64,1,16,null,2048,32000,9536,26.8801,168.251
4,exp20260303_111054,3,vendor-b,bf16,11008,8192,4096,2,64,1,8,full-block-1,2048,32000,9408,26.2505,168.36
4,exp20260303_111054,1,vendor-b,bf16,11008,8192,4096,2,64,1,8,full-block-1,2048,32000,9408,26.2485,168.372
4,exp20260303_111054,0,vendor-b,bf16,11008,8192,4096,2,64,1,8,full-block-1,2048,32000,9408,26.2482,168.374
4,exp20260303_111054,2,vendor-b,bf16,11008,8192,4096,2,64,1,8,full-block-1,2048,32000,9408,26.2477,168.378
4,exp20260303_002845,2,vendor-b,bf16,11008,8192,4096,4,128,1,4,full-block-1,1024,32000,9344,24.9594,169.841
4,exp20260303_002845,0,vendor-b,bf16,11008,8192,4096,4,128,1,4,full-block-1,1024,32000,9344,24.9593,169.842
4,exp20260303_002845,1,vendor-b,bf16,11008,8192,4096,4,128,1,4,full-block-1,1024,32000,9344,24.9585,169.847
4,exp20260303_002845,3,vendor-b,bf16,11008,8192,4096,4,128,1,4,full-block-1,1024,32000,9344,24.9581,169.85
4,exp20260302_225645,0,vendor-b,bf16,11008,8192,4096,4,128,1,8,full-block-1,2048,32000,9664,51.3078,170.266
4,exp20260302_225645,1,vendor-b,bf16,11008,8192,4096,4,128,1,8,full-block-1,2048,32000,9664,51.3066,170.27
4,exp20260302_225645,2,vendor-b,bf16,11008,8192,4096,4,128,1,8,full-block-1,2048,32000,9664,51.3063,170.271
4,exp20260302_225645,3,vendor-b,bf16,11008,8192,4096,4,128,1,8,full-block-1,2048,32000,9664,51.3058,170.273
4,exp20260303_112710,2,vendor-b,bf16,11008,8192,4096,4,128,1,16,full-block-1,1024,32000,9376,25.3135,170.519
4,exp20260303_112710,0,vendor-b,bf16,11008,8192,4096,4,128,1,16,full-block-1,1024,32000,9376,25.3131,170.522
4,exp20260303_112710,1,vendor-b,bf16,11008,8192,4096,4,128,1,16,full-block-1,1024,32000,9376,25.3131,170.522
4,exp20260303_112710,3,vendor-b,bf16,11008,8192,4096,4,128,1,16,full-block-1,1024,32000,9376,25.3116,170.532
4,exp20260303_182151,0,vendor-b,bf16,11008,8192,4096,4,64,1,4,full-block-1,2048,32000,9728,51.2173,170.567
4,exp20260303_182151,1,vendor-b,bf16,11008,8192,4096,4,64,1,4,full-block-1,2048,32000,9728,51.217,170.568
4,exp20260303_182151,2,vendor-b,bf16,11008,8192,4096,4,64,1,4,full-block-1,2048,32000,9728,51.2165,170.569
4,exp20260303_182151,3,vendor-b,bf16,11008,8192,4096,4,64,1,4,full-block-1,2048,32000,9728,51.2136,170.579
4,exp20260303_054152,3,vendor-b,bf16,11008,8192,4096,4,128,1,32,full-uniform-1,2048,32000,9920,52.9994,170.666
4,exp20260302_154020,0,vendor-b,bf16,11008,8192,4096,2,128,1,16,full-block-1,1024,32000,9472,12.6458,170.667
4,exp20260302_154020,1,vendor-b,bf16,11008,8192,4096,2,128,1,16,full-block-1,1024,32000,9472,12.6457,170.669
4,exp20260302_154020,2,vendor-b,bf16,11008,8192,4096,2,128,1,16,full-block-1,1024,32000,9472,12.6454,170.673
4,exp20260303_054152,0,vendor-b,bf16,11008,8192,4096,4,128,1,32,full-uniform-1,2048,32000,9920,52.9931,170.686
4,exp20260303_054152,2,vendor-b,bf16,11008,8192,4096,4,128,1,32,full-uniform-1,2048,32000,9920,52.9932,170.686
4,exp20260302_154020,3,vendor-b,bf16,11008,8192,4096,2,128,1,16,full-block-1,1024,32000,9472,12.6443,170.687
4,exp20260303_054152,1,vendor-b,bf16,11008,8192,4096,4,128,1,32,full-uniform-1,2048,32000,9920,52.9918,170.691
4,exp20260303_171550,3,vendor-b,bf16,11008,8192,4096,2,128,1,4,full-uniform-1,1024,32000,9440,12.4081,170.821
4,exp20260303_171550,2,vendor-b,bf16,11008,8192,4096,2,128,1,4,full-uniform-1,1024,32000,9440,12.4072,170.834
4,exp20260303_171550,1,vendor-b,bf16,11008,8192,4096,2,128,1,4,full-uniform-1,1024,32000,9440,12.407,170.836
4,exp20260303_171550,0,vendor-b,bf16,11008,8192,4096,2,128,1,4,full-uniform-1,1024,32000,9440,12.4066,170.842
4,exp20260303_141004,2,vendor-b,bf16,11008,8192,4096,2,64,1,8,null,1024,32000,9472,12.5969,171.329
4,exp20260303_141004,3,vendor-b,bf16,11008,8192,4096,2,64,1,8,null,1024,32000,9472,12.5969,171.33
4,exp20260303_141004,0,vendor-b,bf16,11008,8192,4096,2,64,1,8,null,1024,32000,9472,12.5967,171.333
