TP size,PP size,DP size,EXP ID,Rank,device type,dtype,ffn hidden size,hidden size,max position embedding,micro batch size,num attention heads,num layers,num query groups,recompute granularity,sequence length,vocab size,Peak GPU memory,TFLOP/s/GPU,elapsed time per iteration
4,5,1,exp20260417_074059,0,a100,bf16,11008,8192,2048,2,64,32,4,full-uniform-1,1024,32000,27628,19.7212,6989.31
4,5,1,exp20260417_074059,1,a100,bf16,11008,8192,2048,2,64,32,4,full-uniform-1,1024,32000,27916,19.7213,6989.28
4,5,1,exp20260417_074059,2,a100,bf16,11008,8192,2048,2,64,32,4,full-uniform-1,1024,32000,27916,19.7213,6989.28
4,5,1,exp20260417_074059,3,a100,bf16,11008,8192,2048,2,64,32,4,full-uniform-1,1024,32000,27628,19.7212,6989.3
4,5,1,exp20260417_154059,4,vendor-b,bf16,11008,8192,2048,2,64,32,4,null,1024,32000,21664,19.7213,6989.26
4,5,1,exp20260417_154059,5,vendor-b,bf16,11008,8192,2048,2,64,32,4,null,1024,32000,21664,19.7213,6989.29
4,5,1,exp20260417_154059,6,vendor-b,bf16,11008,8192,2048,2,64,32,4,null,1024,32000,21664,19.7213,6989.26
4,5,1,exp20260417_154059,7,vendor-b,bf16,11008,8192,2048,2,64,32,4,null,1024,32000,21664,19.7213,6989.26
4,5,1,exp20260417_154059,8,vendor-b,bf16,11008,8192,2048,2,64,32,4,null,1024,32000,20896,19.7213,6989.27
4,5,1,exp20260417_154059,9,vendor-b,bf16,11008,8192,2048,2,64,32,4,null,1024,32000,20864,19.7213,6989.27
4,5,1,exp20260417_154059,10,vendor-b,bf16,11008,8192,2048,2,64,32,4,null,1024,32000,20864,19.7213,6989.26
4,5,1,exp20260417_154059,11,vendor-b,bf16,11008,8192,2048,2,64,32,4,null,1024,32000,20864,19.7213,6989.28
4,5,1,exp20260417_154059,12,vendor-c,bf16,11008,8192,2048,2,64,32,4,null,1024,32000,8192,19.7213,6989.26
4,5,1,exp20260417_154059,13,vendor-c,bf16,11008,8192,2048,2,64,32,4,null,1024,32000,8192,19.7213,6989.29
4,5,1,exp20260417_154059,14,vendor-c,bf16,11008,8192,2048,2,64,32,4,null,1024,32000,8192,19.7213,6989.29
4,5,1,exp20260417_154059,15,vendor-c,bf16,11008,8192,2048,2,64,32,4,null,1024,32000,8192,19.7213,6989.27
4,5,1,exp20260417_154059,16,vendor-c,bf16,11008,8192,2048,2,64,32,4,null,1024,32000,20128,19.7212,6989.29
4,5,1,exp20260417_154059,17,vendor-c,bf16,11008,8192,2048,2,64,32,4,null,1024,32000,20128,19.7212,6989.3
4,5,1,exp20260417_154059,18,vendor-c,bf16,11008,8192,2048,2,64,32,4,null,1024,32000,20128,19.7213,6989.28
4,5,1,exp20260417_154059,19,vendor-c,bf16,11008,8192,2048,2,64,32,4,null,1024,32000,20128,19.7212,6989.3
4,5,1,exp20260417_074435,0,a100,bf16,11008,8192,2048,2,64,32,8,full-uniform-1,1024,32000,28014,20.2729,6929.26
4,5,1,exp20260417_074435,1,a100,bf16,11008,8192,2048,2,64,32,8,full-uniform-1,1024,32000,28302,20.273,6929.23
4,5,1,exp20260417_074435,2,a100,bf16,11008,8192,2048,2,64,32,8,full-uniform-1,1024,32000,28302,20.2729,6929.26
4,5,1,exp20260417_074435,3,a100,bf16,11008,8192,2048,2,64,32,8,full-uniform-1,1024,32000,28014,20.2729,6929.26
4,5,1,exp20260417_154435,4,vendor-b,bf16,11008,8192,2048,2,64,32,8,selective,1024,32000,22048,20.2729,6929.26
4,5,1,exp20260417_154435,5,vendor-b,bf16,11008,8192,2048,2,64,32,8,selective,1024,32000,22048,20.273,6929.25
4,5,1,exp20260417_154435,6,vendor-b,bf16,11008,8192,2048,2,64,32,8,selective,1024,32000,22048,20.273,6929.24
4,5,1,exp20260417_154435,7,vendor-b,bf16,11008,8192,2048,2,64,32,8,selective,1024,32000,22048,20.2729,6929.26
4,5,1,exp20260417_154435,8,vendor-b,bf16,11008,8192,2048,2,64,32,8,selective,1024,32000,21184,20.273,6929.24
4,5,1,exp20260417_154435,9,vendor-b,bf16,11008,8192,2048,2,64,32,8,selective,1024,32000,21184,20.273,6929.24
4,5,1,exp20260417_154435,10,vendor-b,bf16,11008,8192,2048,2,64,32,8,selective,1024,32000,21184,20.273,6929.24
4,5,1,exp20260417_154435,11,vendor-b,bf16,11008,8192,2048,2,64,32,8,selective,1024,32000,21184,20.273,6929.24
4,5,1,exp20260417_154435,12,vendor-c,bf16,11008,8192,2048,2,64,32,8,null,1024,32000,8288,20.273,6929.23
4,5,1,exp20260417_154435,13,vendor-c,bf16,11008,8192,2048,2,64,32,8,null,1024,32000,8288,20.2731,6929.21
4,5,1,exp20260417_154435,14,vendor-c,bf16,11008,8192,2048,2,64,32,8,null,1024,32000,8288,20.273,6929.22
4,5,1,exp20260417_154435,15,vendor-c,bf16,11008,8192,2048,2,64,32,8,null,1024,32000,8288,20.273,6929.22
4,5,1,exp20260417_154435,16,vendor-c,bf16,11008,8192,2048,2,64,32,8,null,1024,32000,20288,20.273,6929.23
4,5,1,exp20260417_154435,17,vendor-c,bf16,11008,8192,2048,2,64,32,8,null,1024,32000,20288,20.273,6929.23
4,5,1,exp20260417_154435,18,vendor-c,bf16,11008,8192,2048,2,64,32,8,null,1024,32000,20288,20.273,6929.23
4,5,1,exp20260417_154435,19,vendor-c,bf16,11008,8192,2048,2,64,32,8,null,1024,32000,20288,20.2729,6929.26
4,5,1,exp20260417_074817,0,a100,bf16,11008,8192,2048,2,64,32,16,selective,1024,32000,29066,33.0988,4403.6
4,5,1,exp20260417_074817,1,a100,bf16,11008,8192,2048,2,64,32,16,selective,1024,32000,29354,33.0992,4403.56
4,5,1,exp20260417_074817,2,a100,bf16,11008,8192,2048,2,64,32,16,selective,1024,32000,29354,33.0989,4403.59
4,5,1,exp20260417_074817,3,a100,bf16,11008,8192,2048,2,64,32,16,selective,1024,32000,29066,33.0988,4403.61
4,5,1,exp20260417_154817,4,vendor-b,bf16,11008,8192,2048,2,64,32,16,selective,1024,32000,22528,33.0991,4403.56
4,5,1,exp20260417_154817,5,vendor-b,bf16,11008,8192,2048,2,64,32,16,selective,1024,32000,22528,33.0992,4403.56
4,5,1,exp20260417_154817,6,vendor-b,bf16,11008,8192,2048,2,64,32,16,selective,1024,32000,22528,33.0991,4403.56
4,5,1,exp20260417_154817,7,vendor-b,bf16,11008,8192,2048,2,64,32,16,selective,1024,32000,22528,33.0985,4403.64
4,5,1,exp20260417_154817,8,vendor-b,bf16,11008,8192,2048,2,64,32,16,selective,1024,32000,21696,33.0991,4403.57
4,5,1,exp20260417_154817,9,vendor-b,bf16,11008,8192,2048,2,64,32,16,selective,1024,32000,21696,33.0991,4403.56
4,5,1,exp20260417_154817,10,vendor-b,bf16,11008,8192,2048,2,64,32,16,selective,1024,32000,21728,33.099,4403.58
4,5,1,exp20260417_154817,11,vendor-b,bf16,11008,8192,2048,2,64,32,16,selective,1024,32000,21728,33.099,4403.57
4,5,1,exp20260417_154817,12,vendor-c,bf16,11008,8192,2048,2,64,32,16,null,1024,32000,8480,33.099,4403.57
4,5,1,exp20260417_154817,13,vendor-c,bf16,11008,8192,2048,2,64,32,16,null,1024,32000,8480,33.099,4403.57
4,5,1,exp20260417_154817,14,vendor-c,bf16,11008,8192,2048,2,64,32,16,null,1024,32000,8480,33.099,4403.58
4,5,1,exp20260417_154817,15,vendor-c,bf16,11008,8192,2048,2,64,32,16,null,1024,32000,8480,33.099,4403.58
4,5,1,exp20260417_154817,16,vendor-c,bf16,11008,8192,2048,2,64,32,16,null,1024,32000,20512,33.0989,4403.59
4,5,1,exp20260417_154817,17,vendor-c,bf16,11008,8192,2048,2,64,32,16,null,1024,32000,20512,33.099,4403.57
4,5,1,exp20260417_154817,18,vendor-c,bf16,11008,8192,2048,2,64,32,16,null,1024,32000,20512,33.099,4403.58
4,5,1,exp20260417_154817,19,vendor-c,bf16,11008,8192,2048,2,64,32,16,null,1024,32000,20512,33.0989,4403.59
4,5,1,exp20260417_075219,0,a100,bf16,11008,8192,2048,2,64,32,32,full-uniform-1,1024,32000,29922,22.4316,6968.27
4,5,1,exp20260417_075219,1,a100,bf16,11008,8192,2048,2,64,32,32,full-uniform-1,1024,32000,30210,22.4316,6968.26
4,5,1,exp20260417_075219,2,a100,bf16,11008,8192,2048,2,64,32,32,full-uniform-1,1024,32000,30210,22.4315,6968.29
4,5,1,exp20260417_075219,3,a100,bf16,11008,8192,2048,2,64,32,32,full-uniform-1,1024,32000,29922,22.4316,6968.27
4,5,1,exp20260417_155219,4,vendor-b,bf16,11008,8192,2048,2,64,32,32,full-uniform-1,1024,32000,20864,22.4316,6968.27
4,5,1,exp20260417_155219,5,vendor-b,bf16,11008,8192,2048,2,64,32,32,full-uniform-1,1024,32000,20864,22.4316,6968.27
4,5,1,exp20260417_155219,6,vendor-b,bf16,11008,8192,2048,2,64,32,32,full-uniform-1,1024,32000,20864,22.4315,6968.3
4,5,1,exp20260417_155219,7,vendor-b,bf16,11008,8192,2048,2,64,32,32,full-uniform-1,1024,32000,20864,22.4316,6968.28
4,5,1,exp20260417_155219,8,vendor-b,bf16,11008,8192,2048,2,64,32,32,full-uniform-1,1024,32000,20800,22.4316,6968.27
4,5,1,exp20260417_155219,9,vendor-b,bf16,11008,8192,2048,2,64,32,32,full-uniform-1,1024,32000,20800,22.4316,6968.27
4,5,1,exp20260417_155219,10,vendor-b,bf16,11008,8192,2048,2,64,32,32,full-uniform-1,1024,32000,20800,22.4316,6968.27
4,5,1,exp20260417_155219,11,vendor-b,bf16,11008,8192,2048,2,64,32,32,full-uniform-1,1024,32000,20800,22.4316,6968.27
4,5,1,exp20260417_155219,12,vendor-c,bf16,11008,8192,2048,2,64,32,32,null,1024,32000,9120,22.4316,6968.26
